measure,location,sex,age,cause,metric,year,val,upper,lower,colour
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Tuberculosis,Rate,1990,1618.8535283472816,1735.9284877990005,1507.8089818641827,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Tuberculosis,Rate,1990,1090.347395295218,1187.8967544316938,985.3487682320408,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Tuberculosis,Rate,1990,1344.0916118230834,1429.6823026783575,1258.2617179287754,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,HIV/AIDS,Rate,1990,472.7508656510454,525.5702521437314,422.4061099918824,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,HIV/AIDS,Rate,1990,285.9705189656663,320.42826004662686,257.8309968238893,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,HIV/AIDS,Rate,1990,380.2165190505474,422.1425399534508,342.46061519342516,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Diarrhoeal diseases,Rate,1990,2829.489171859622,3516.8117363850906,2263.1670692952994,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Diarrhoeal diseases,Rate,1990,3135.956971375238,3635.262121286084,2628.427369732421,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Diarrhoeal diseases,Rate,1990,2972.45363760186,3412.922587489911,2542.741277367384,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Lower respiratory infections,Rate,1990,3911.3762360702112,4219.1713648189725,3520.7205847380114,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Lower respiratory infections,Rate,1990,3771.8431353652036,4087.0619102832406,3460.8198631898354,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Lower respiratory infections,Rate,1990,3830.8505729694484,4100.7871263641255,3517.188308335769,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Meningitis,Rate,1990,616.2909934547716,695.3132214216052,516.769519833576,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Meningitis,Rate,1990,551.5355762248493,623.6274047380354,454.54082397583875,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Meningitis,Rate,1990,584.6289705150834,648.03287893229,501.4528276775346,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Measles,Rate,1990,927.4855441699566,1922.1792322239507,348.8286844336827,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Measles,Rate,1990,972.3146724610341,2035.4364828834143,361.93098821643497,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Measles,Rate,1990,949.2782939462188,1958.330265244761,349.8968648019919,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Malaria,Rate,1990,872.6979807547849,1209.9668834434126,599.3259034100407,A
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Malaria,Rate,1990,850.3136175511236,1170.890686574679,588.1316201647429,A
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Malaria,Rate,1990,861.6647026869825,1189.9565790796557,597.5376722655653,A
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Ischaemic heart disease,Rate,1990,3725.2875705415313,3844.013125352923,3634.1175855135048,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Ischaemic heart disease,Rate,1990,2242.253393847514,2312.2857147596974,2186.7867566516343,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Ischaemic heart disease,Rate,1990,2948.5565234243145,3022.0468241832064,2889.428547594836,B
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Stroke,Rate,1990,2612.6199428338878,2709.2932006340598,2524.6560187244418,B
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Stroke,Rate,1990,2195.6363844587963,2294.9631220620504,2109.046691674777,B
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Stroke,Rate,1990,2392.7076468518544,2478.865750406089,2316.540958815478,B
